id;nom_lieu_dit;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;source_position;source_nom_voie
74236_B330;Les Monts-Rosset d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;985304.99;6538082.53;6.679929;45.88257;bal;bal
74236_B323;Les Monts-Rosset-Derrière;74170;74236;Saint-Gervais-les-Bains;;;985044.02;6537907.94;6.676463;45.881109;bal;bal
74236_ks680p;Les Mortenets;74170;74236;Saint-Gervais-les-Bains;;;988528;6534181.85;6.719071;45.846124;bal;bal
74236_zcqnv9;Les Mouilles;74170;74236;Saint-Gervais-les-Bains;;;989239.63;6538245.28;6.730703;45.882372;bal;bal
74236_21tzdo;Les Mouilles-Gauttes;74170;74236;Saint-Gervais-les-Bains;;;985337.18;6537390.77;6.679928;45.876334;bal;bal
74236_8cb6ja;Les Mourets;74170;74236;Saint-Gervais-les-Bains;;;990666.56;6536516.88;6.748023;45.866217;bal;bal
74236_p7vpw6;Les Nais;74170;74236;Saint-Gervais-les-Bains;;;990962.62;6536286.8;6.751694;45.864021;bal;bal
74236_w2l8sb;Les Ordons;74170;74236;Saint-Gervais-les-Bains;;;989928.8;6535819.94;6.738099;45.860263;bal;bal
74236_clk3in;Les Orgères;74170;74236;Saint-Gervais-les-Bains;;;985777.99;6535803.02;6.68465;45.861867;bal;bal
74236_fnzhx7;Les Pacheux;74170;74236;Saint-Gervais-les-Bains;;;990024.75;6534507.95;6.738534;45.848421;bal;bal
74236_B344;Les Pâturages de Miage;74170;74236;Saint-Gervais-les-Bains;;;992073.5;6533093.7;6.764035;45.834824;bal;bal
74236_B345;Les Pâturages du Truc;74170;74236;Saint-Gervais-les-Bains;;;991415.68;6533093.26;6.75557;45.835102;bal;bal
74236_7tbnvx;Les Pendues;74170;74236;Saint-Gervais-les-Bains;;;989468.89;6536213.74;6.732418;45.864001;bal;bal
74236_e9pf1c;Les Perrières;74170;74236;Saint-Gervais-les-Bains;;;991261.95;6536652.69;6.755772;45.867184;bal;bal
74236_B351;Les Perriers-Vers-Le Nant;74170;74236;Saint-Gervais-les-Bains;;;986393.29;6536908.6;6.693238;45.871553;bal;bal
74236_C090;Les Pierres Blanches;74170;74236;Saint-Gervais-les-Bains;;;988347.58;6536236.51;6.717995;45.864682;bal;bal
74236_tlpf9n;Les Placeaux;74170;74236;Saint-Gervais-les-Bains;;;990357.9;6533502.27;6.742208;45.839233;bal;bal
74236_6tqvm3;Les Places;74170;74236;Saint-Gervais-les-Bains;;;986528.68;6536801.76;6.694917;45.870535;bal;bal
74236_C091;Les Places d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;987893.39;6536067.71;6.712045;45.863356;bal;bal
74236_C092;Les Places d'en-Haut;74170;74236;Saint-Gervais-les-Bains;;;987885.4;6535772.06;6.711763;45.8607;bal;bal
74236_C105;Les Plans Champs;74170;74236;Saint-Gervais-les-Bains;;;988160.68;6536143.21;6.715532;45.863922;bal;bal
74236_C106;Les Plans d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;988033.7;6536360.69;6.714029;45.865932;bal;bal
74236_C107;Les Plans d'en-Haut;74170;74236;Saint-Gervais-les-Bains;;;987747.04;6536192.12;6.710236;45.864537;bal;bal
74236_B380;Les Ponthieux d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;986747.67;6538536.64;6.698784;45.886048;bal;bal
74236_B381;Les Ponthieux d'en Haut;74170;74236;Saint-Gervais-les-Bains;;;986768.6;6538322.06;6.698924;45.884109;bal;bal
74236_ded1mm;Les Pratz;74170;74236;Saint-Gervais-les-Bains;;;988059.59;6538133.35;6.715437;45.881866;bal;bal
74236_B388;Les Praz-Druz;74170;74236;Saint-Gervais-les-Bains;;;992099.99;6537815.75;6.767277;45.877286;bal;bal
74236_bqvay4;Les Quarts;74170;74236;Saint-Gervais-les-Bains;;;991279.4;6534523.39;6.754692;45.848024;bal;bal
74236_5l5gmm;Les Rasses;74170;74236;Saint-Gervais-les-Bains;;;986707.22;6537840.8;6.697843;45.879806;bal;bal
74236_bszfmb;Les Ravières;74170;74236;Saint-Gervais-les-Bains;;;985294.86;6535241.86;6.678093;45.857022;bal;bal
74236_mluu5q;Les Recourbes;74170;74236;Saint-Gervais-les-Bains;;;987010.04;6536539.72;6.700957;45.867975;bal;bal
74236_8v7zjh;Les Rey;74170;74236;Saint-Gervais-les-Bains;;;986378.39;6538897.21;6.694245;45.889447;bal;bal
74236_7k0x49;Les Rolles;74170;74236;Saint-Gervais-les-Bains;;;985518.49;6535779.68;6.681295;45.861766;bal;bal
74236_ej664p;Les Ruppes;74170;74236;Saint-Gervais-les-Bains;;;990000.96;6535305.17;6.738714;45.855602;bal;bal
74236_B403;Les Ruttiaux-Vers le Nant;74170;74236;Saint-Gervais-les-Bains;;;986420.51;6536707.09;6.693467;45.869729;bal;bal
74236_7x63aj;Les Saugers;74170;74236;Saint-Gervais-les-Bains;;;988594.04;6533993.97;6.719807;45.844406;bal;bal
74236_asy9mc;Les Sellières;74170;74236;Saint-Gervais-les-Bains;;;989725.06;6537355.29;6.736412;45.87416;bal;bal
74236_B409;Les Sellières d'en-Haut;74170;74236;Saint-Gervais-les-Bains;;;989767.26;6537475.8;6.737029;45.875226;bal;bal
74236_cjtf6f;Les Senards;74170;74236;Saint-Gervais-les-Bains;;;988833.27;6534529.21;6.723211;45.849119;bal;bal
74236_zz2r2z;L'Essert;74170;74236;Saint-Gervais-les-Bains;;;992546.87;6536762.13;6.772383;45.867617;bal;bal
74236_wylji9;L'Essert;74170;74236;Saint-Gervais-les-Bains;;;989470.88;6537468.55;6.733208;45.875287;bal;bal
74236_p7k7rw;Les Seuilleux;74170;74236;Saint-Gervais-les-Bains;;;988826.93;6538850.81;6.725756;45.887994;bal;bal
74236_sh86v3;L'Essey;74170;74236;Saint-Gervais-les-Bains;;;985910.64;6536669.46;6.686879;45.869605;bal;bal
74236_zawv1m;Les Sojats;74170;74236;Saint-Gervais-les-Bains;;;989828.41;6535377.71;6.736537;45.856328;bal;bal
74236_wiyg39;Les Tappes;74170;74236;Saint-Gervais-les-Bains;;;985974.43;6535251.01;6.686847;45.856819;bal;bal
74236_hs26wr;Les Thoilles;74170;74236;Saint-Gervais-les-Bains;;;989975.6;6536519;6.739128;45.866531;bal;bal
